Title,Score,ProgressChapter,ProgressVolumes,Type
Sword Art Online: Aincrad,0,12,2,MANGA
Gekkou,0,11,1,NOVEL
GTO: Shonan 14 Days,0,77,9,MANGA
5-toubun no Hanayome,0,1,0,ONE_SHOT
Re:Marina,0,49,6,MANGA
Kono Onee-san wa Fiction desu!?,0,49,8,MANGA
Dororo,0,19,4,MANGA
Hana to Hoshi,0,11,2,MANGA
Shonan Junai Gumi!,0,267,31,MANGA
Hantsu x Trash,0,199,18,MANGA
Tobaku Mokushiroku Kaiji,0,158,13,MANGA
Omamori Himari,0,75,12,MANGA
K-On! Highschool,0,14,1,MANGA
Renai Shimasen ka?,0,16,3,MANGA
Hanazakari no Kimi-tachi e,0,148,23,MANGA
Nana to Kaoru: Black Label,0,45,5,MANGA
Mars,0,41,15,MANGA
Classmate, Kamimura Yuuka wa Kou Itta.,0,29,6,MANGA
Satougashi no Dangan wa Uchinukenai: A Lollypop or A Bullet,0,13,2,MANGA
